P,Z,N
0.6958921933928802,0.19589219339288028,0.09589219339288026
0.5533337898377422,0.25351096286065505,0.18210770186392836
0.425531844702074,0.31896191031550014,0.27516620540313247
0.2960180529805117,0.35715499344210133,0.33731741350804273
0.20672458738219748,0.40078382811428054,0.39993514821886383
0.1318958936371373,0.4228463881266619,0.4358393159108799
0.09277105841069032,0.45056867156327374,0.47311118772792854
0.056636038916993967,0.4588549363516686,0.48774335027090776
0.03840047614373277,0.46942873284942666,0.5024327695216686
0.01649596616240809,0.46583326182549156,0.5014528754916463
0.012346506971087343,0.47326054634325576,0.5105339805392798
0.012011755719295414,0.4801323782509052,0.5184353243268495
0.006937649465926712,0.47956910296403454,0.5185164534637643
0.0016413621303534593,0.4770692478409055,0.5164160886566986
0.0013294259309190098,0.4784972748859192,0.5180926818794906
-0.004430766026184314,0.47381425707472713,0.513563546089143
-0.0038835469086200315,0.4750295493909106,0.5148742774337006
-0.0005914579281640334,0.47873569849052855,0.518639577978913
0.00011813938221342526,0.47970106348530206,0.5196414812143145
-0.003736732106367012,0.4760055397330937,0.515968721424445
-0.0011846388767682927,0.4786551084905566,0.5186322152573172
