P,Z,N
0.7014763528512222,0.2014763528512223,0.1014763528512223
0.5623804969744076,0.26255766999732055,0.19115440900059386
0.4185169397092671,0.31194700532269326,0.2681513004103256
0.29910435172101557,0.3602412921826052,0.3404037122485466
0.20454791068828793,0.398607151420371,0.3977584715249543
0.1389955558978539,0.4299460503873785,0.44293897817159644
0.0896034297561526,0.447401042908736,0.4699435590733908
0.05638533393343842,0.458604231368113,0.4874926452873522
0.03716550736881585,0.4681937640745097,0.5011978007467517
0.019799294538778895,0.4691365902018624,0.5047562038680171
0.016664778598915738,0.4775788179710842,0.5148522521671082
0.003996137352777922,0.4721167598843877,0.510419705960332
0.004765035860452903,0.47739648935856077,0.5163438398582905
0.0024390371200284137,0.4778669228305804,0.5172137636463736
0.010185680691558324,0.48735352964655854,0.5269489366401299
-0.002064476914527746,0.47618054618638367,0.5159298352007996
0.00029298033458373754,0.47920607663411435,0.5190508046769045
-0.0025305276475292536,0.4767966287711633,0.5167005082595478
-0.003159600749734256,0.47642332335335436,0.5163637410823668
-0.005966795488802965,0.47377547635065775,0.5137386580420091
0.00195666852536814,0.481796415892693,0.5217735226594535
